Country,LifeExpectancy,ln(GDP),PM2.5,WaterAccess,War Dummy,ChildMortality
Lebanon,76.2988,9.515349584,19.23101729,47.7,0,1.55
Lesotho,55.1325,7.852079378,23.43910132,27.52,0,6.68
Liechtenstein,82.037,11.8450264,NA,100,0,#N/A
Lithuania,75.105,10.62747315,9.218938604,94.92,0,0.37
Luxembourg,81.4108,11.7191843,8.674761895,99.52,0,0.25
Madagascar,62.706,7.364090292,12.75351995,20.76,0,6.63
Malawi,65.2159,7.255154738,23.69831944,16.49,0,4.31
Malaysia,76.0566,10.26452114,16.19385322,93.82,0,0.81
Malta,82.3358,10.82045891,11.72266488,99.81,0,0.6
Mexico,70.4492,9.859601337,14.99234402,42.89,1,1.38
Moldova,69.9144,9.509238088,14.7583463,74.5,0,1.49
Mongolia,70.0291,9.515576295,29.65478665,37.4,0,1.48
Montenegro,75.8503,9.934250678,17.98241006,85.07,0,0.3
Morocco,73.1327,8.981942792,21.32126421,73.91,0,1.86
Myanmar,66.6121,8.614303024,32.315034,56.77,1,4.29
Nepal,69.1065,8.351274371,45.72077064,17.71,0,2.99
Netherlands,81.3931,11.04641295,10.88924985,99.97,0,0.4
New Zealand,82.6628,10.71246475,6.485914997,99.1,0,0.5
Nicaragua,70.7662,8.73675883,16.80977254,55.52,0,1.51
Nigeria,53.0724,8.91122991,56.53132873,27.85,1,11.44
Norway,83.1953,11.11314961,6.055897247,98.93,0,0.24
Oman,77.7634,10.48497419,39.58357689,90.56,0,1.07
Pakistan,65.7015,8.600749105,42.99817342,48.55,1,6.46
Palau,68.6889,9.609597517,7.327709794,87.96,0,2.33
Palestine,74.9978,8.632032699,26.36362644,79.7,0,1.52
Paraguay,72.7197,9.575507029,10.08915991,64.08,0,1.88
Peru,73.8315,9.486890918,27.0356285,51.41,1,1.66
Philippines,70.0974,9.04260078,20.28874171,47.43,1,2.79
Poland,76.5951,10.50936018,17.95833149,89.62,0,0.44
Portugal,81.3664,10.48186268,8.452422662,95.01,0,0.34
Qatar,80.4095,11.30224567,75.66303295,96.64,0,0.64
Romania,74.0464,10.44211347,14.85017313,81.99,0,0.66
Samoa,72.6717,8.686964489,6.715147395,89.85,0,1.7
Samoa,72.6717,8.686964489,6.715147395,89.85,0,1.7
San Marino,82.6495,10.94660531,10.69089833,100,0,0.16
Sao Tome and Principe,67.979,8.545692598,27.33575228,35.87,0,1.6
Senegal,67.4961,8.231685021,63.74022113,26.06,0,4.46
Serbia,74.5065,9.952900808,22.50753557,75.01,0,0.55
Sierra Leone,59.6935,7.908089321,43.2210935,9.71,0,10.51
Singapore,83.6607,11.52799453,13.86919559,100,0,0.23
Slovenia,80.3641,10.64299134,14.29115275,98.27,0,0.24
Spain,82.2413,10.57881536,9.581054607,99.56,0,0.32
Sri Lanka,76.9281,9.468148427,19.96444086,47.59,0,0.69
Suriname,72.3208,9.74343593,27.30596984,55.76,0,1.78
Sweden,82.4271,10.95524042,5.636707906,99.73,0,0.26
Switzerland,83.0626,11.20108812,9.061049686,96.7,0,0.4
Tajikistan,68.6054,8.232080615,37.05340623,55.24,0,2.8
Tanzania,66.7712,8.076368331,25.08143115,10.71,1,4.42
Togo,61.1225,7.763560279,51.66613694,18.84,0,6.43
Tonga,72.3787,8.740565517,12.47841295,29.49,0,1.08
Tunisia,75.0035,9.391767696,24.18298267,73.91,0,1.6
Turkmenistan,#N/A,9.719969921,19.59976114,94.83,0,4.26
Tuvalu,#N/A,8.519852054,5.917801056,8.63,0,2.19
Uganda,#N/A,7.922818916,33.80771926,16.75,0,4.35
